,속성1,속성2,속성3,속성4,속성5,속성6,속성7,속성8,속성9,속성10,속성11,속성12,속성13,속성14,속성15,속성16,속성17,속성18,속성19,속성20,속성21,속성22,속성23,속성24,속성25,속성26,속성27,속성28,속성29,속성30,속성31,속성32,속성33,속성34,속성35,속성36,속성37,속성38,속성39,속성40,속성41,속성42,속성43,속성44,속성45,속성46,속성47,속성48,속성49,속성50,속성51,속성52,속성53,속성54,속성55,속성56,속성57,속성58,속성59,속성60,속성61,속성62,속성63,속성64,속성65,속성66,속성67,속성68,속성69,속성70,속성71,속성72,속성73,속성74,속성75,속성76,속성77,속성78,속성79,속성80,속성81,속성82,속성83,속성84,속성85,속성86,속성87,속성88,속성89,속성90,속성91,속성92,속성93,속성94,속성95,속성96,속성97,속성98,속성99,속성100,y
1,제품,생활,건강,협력,관리,환경,활동,평가,고객,운영,지원,개선,경영,사회,사업장,안전,정보,임직원,기업,사업,대상,품질,강화,교육,이슈,지속,물질,사용,가능,구분,기술,브랜드,다양,글로벌,확대,활용,공정,제도,현황,시스템,리스크,지역,주요,화장품,개발,업무,원료,영향,한국,소비자,검증,물류,발생,점검,변화,국내,여성,진행,대응,채널,해외,이해,에너지,개인,법인,프로세스,적용,참여,인증,구매,조직,시장,거래,산업,검토,실시,음료,기관,체계,피부,결과,사항,준수,투자,정책,인권,전문,온라인,유해,외부,용기,생산,배출,뷰티,안심,성과,정도,기타,구성,구축,90.5
2,전자,제품,관리,협력,고객,경영,사업,환경,활동,사회,한국,운영,가능,교육,정보,안전,개선,지원,현황,지속,조직,사용,기술,리스크,평가,대상,임직원,사업장,개발,에너지,주요,다양,강화,활용,대응,글로벌,서비스,실시,구분,생산,제공,변화,구축,사항,배출,과정,기업,지역,확대,정책,물질,보안,해외,시스템,기타,점검,이해,프로그램,구성원,공정,진행,개인,거래,목표,기반,준수,업무,발생,이슈,제도,체계,필요,처리,컴플라이언스,가치,성과,친환경,영향,보호,전략,인증,외부,효율,비율,책임,적용,모니터링,관계자,결과,포함,국가,확보,향상,단위,데이터,내부,검증,전사,참여,단계,92.1
3,사회,대응,구성원,하이닉스,기술,경영,개발,운영,지속,환경,반도체,발생,활동,기업,회의,기반,구축,다양,생산,보안,코로나,안전,지원,창출,업무,공지,체계,지역,달성,목표,신고,성장,사업,연구,상황,시스템,력사,누적,가치,글로벌,현황,판매,가능,감염,신속,채널,이상,휴가,사내,분과,비상,보건,확대,감염병,조치,바탕,관리,감염자,전략,산업,강화,투자,시설,수립,실시간,첨단,변화,제조,건강,추진,확보,개선,지침,관계자,제품,추가,경제,점검,문제,공헌,미래,문화,전사,협력,이해,두기,정보,배출,메모리,적극,지휘,의심,검사,본사,소통,인재,제공,메시지,접촉,행복,95.5
4,관리,삼성,환경,교육,제품,운영,협력,강화,활동,안전,고객,평가,사업,품질,사회,경영,공정,개선,지원,임직원,에너지,구분,시스템,지속,영향,배터리,사용,확대,개발,기술,공급,체계,대응,생산,성과,확보,리스크,조직,주요,분석,정보,배출,구축,설비,가능,물질,과정,대상,제조,신규,다양,참여,글로벌,지역,제도,이상,향상,이슈,국내,변화,진행,위험,기후,문화,준법,프로세스,저감,활용,해외,산업,온실가스,까지,사업장,제고,점검,전략,추진,단위,예방,인권,작업,목표,기타,전문,역량,발생,수립,자본,도입,사전,구매,전사,중요,직무,모니터링,선정,적용,처리,기업,감축,92.6
5,부문,관리,사업,교육,안전,삼성물산,사회,환경,활동,건설,대상,협력,임직원,고객,정보,강화,지원,개선,운영,현장,평가,경영,기업,분야,지속,보호,다양,조직,체계,지역,점검,컴플라이언스,한국,사업장,가능,확대,개발,주요,패션,활용,서비스,산업,위원회,글로벌,업무,리스크,해외,참여,기술,사용,사고,성과,위험,사항,대응,예방,실시,이해,제품,에너지,발생,현황,노동,역량,외부,인권,리조트,협회,과정,시간,프로그램,경제,검증,품질,전문,제공,결과,국내,부서,시스템,단계,향상,목표,기타,배출,제도,계획,반영,시설,이슈,가치,문화,프로젝트,중요,추진,공정,이사,보건,변화,통합,92
6,고객,지원,정보,경영,서비스,기업,운영,관리,대상,임직원,사회,사업,교육,평가,통신,활동,리스크,구분,환경,지속,가능,대응,발생,추진,센터,안전,주요,구축,에너지,기반,개발,체계,기술,보호,제공,점검,업무,강화,개선,이사,위원회,력사,시설,인권,지역,협력,네트워크,한국,개인,컴플라이언스,현황,혁신,프로그램,산업,전문,기관,데이터,활용,다양,부서,확대,분야,조직,공정,전략,시스템,사용,전사,경제,그룹,디지털,윤리,조치,정책,참여,예방,구성,에게,장애,시행,소통,정부,공급,직원,중요,상황,배출,가치,분석,성과,주주,이해,사외,현장,수립,사항,사내,재난,품질,이슈,94.5
7,디스플레이,활동,경영,환경,임직원,지원,관리,안전,사회,대한,정보,제품,교육,평가,력사,운영,사업,대상,조직,기업,지속,기술,개선,제공,다양,프로그램,개발,고객,변화,강화,실시,대응,진행,체계,가능,지역,주요,시스템,협력,성과,리스크,사업장,보안,물질,구분,품질,사용,당사,시설,에너지,추진,문화,보건,수립,공헌,구축,배출,전략,현황,이해,온실가스,핵심,업무,법인,투자,소통,발생,국내,생산,참여,검증,전사,기반,보호,단위,건강,가치,사내,정책,글로벌,위원회,해외,온라인,정도,성장,영향,전문,예방,확보,분석,장애,확대,공급,관계자,공정,역량,규제,사항,프로세스,혁신,92.1
8,사회,대응,구성원,하이닉스,기술,경영,개발,운영,지속,환경,반도체,발생,활동,기업,회의,기반,구축,다양,생산,보안,코로나,안전,지원,창출,업무,공지,체계,지역,달성,목표,신고,성장,사업,연구,상황,시스템,력사,누적,가치,글로벌,현황,판매,가능,감염,신속,채널,이상,휴가,사내,분과,비상,보건,확대,감염병,조치,바탕,관리,감염자,전략,산업,강화,투자,시설,수립,실시간,첨단,변화,제조,건강,추진,확보,개선,지침,관계자,제품,추가,경제,점검,문제,공헌,미래,문화,전사,협력,이해,두기,정보,배출,메모리,적극,지휘,의심,검사,본사,소통,인재,제공,메시지,접촉,행복,95.5
9,금융,신한,그룹,관리,고객,사회,지원,경영,운영,평가,교육,기업,정보,신한은행,활동,환경,투자,대상,사업,서비스,가능,보호,리스크,임직원,친환경,은행,원칙,이사,업무,전략,강화,대출,현황,다양,디지털,프로그램,상품,제도,변화,인권,카드,글로벌,추진,체계,지속,정책,제공,확대,영향,직원,여성,조직,기후,활용,실시,개발,목표,이슈,지역,구축,윤리,사외,책임,이해,성과,대응,참여,위원회,관계자,국내,경제,포함,비율,분석,시스템,개선,가치,에너지,결과,주요,산업,보험,배출,보고서,자산,모니터링,검증,기반,선정,전문,성장,내부,보안,반영,과정,수립,거래,자금,계획,이행,93.1
10,자동차,현대,차량,기술,관리,지원,서비스,안전,운영,고객,대상,사회,교육,개선,환경,활용,활동,개발,시스템,지속,지역,사업,경영,수소,국내,임직원,기반,평가,확대,강화,다양,가능,생산,협력,정보,주요,글로벌,에너지,판매,프로그램,력사,공장,데이터,구축,제공,기업,사용,추진,친환경,품질,사업장,제품,미래,검증,해외,계획,시장,모빌리티,배출,포함,법인,실시,조직,전기차,변화,적용,직원,그룹,리스크,현황,제도,까지,중심,진행,주행,산업,발생,부품,공정,성장,중국,체계,이사,과정,확보,혁신,전략,자율,연구,당사,위원회,탄소,성과,대응,역량,업무,공급,구분,한국,미국,94
11,고객,지원,정보,경영,서비스,기업,운영,관리,대상,임직원,사회,사업,교육,평가,통신,활동,리스크,구분,환경,지속,가능,대응,발생,추진,센터,안전,주요,구축,에너지,기반,개발,체계,기술,보호,제공,점검,업무,강화,개선,이사,위원회,력사,시설,인권,지역,협력,네트워크,한국,개인,컴플라이언스,현황,혁신,프로그램,산업,전문,기관,데이터,활용,다양,부서,확대,분야,조직,공정,전략,시스템,사용,전사,경제,그룹,디지털,윤리,조치,정책,참여,예방,구성,에게,장애,시행,소통,정부,공급,직원,중요,상황,배출,가치,분석,성과,주주,이해,사외,현장,수립,사항,사내,재난,품질,이슈,94.5
12,텔레콤,서비스,사업,정보,관리,기업,사회,고객,기반,지원,제공,경영,운영,협력,기술,통신,환경,활동,구성원,리스크,강화,평가,지속,교육,주요,대상,보안,보호,확대,가치,투자,데이터,가능,성장,대응,사용,활용,다양,시스템,조직,개발,이슈,안전,위원회,당사,성과,정책,프로그램,혁신,변화,포함,결과,발생,체계,업무,추진,감사,거래,구축,윤리,현황,기타,산업,참여,계획,주주,장애,시간,에너지,개인,비즈니스,비용,개선,재무,비율,네트워크,과정,전략,사항,시장,목표,단위,국내,이해,콘텐츠,코로나,프로세스,연결,적용,창출,전문,검토,핵심,관계자,한국,이사,글로벌,확보,수준,지역,93.8
13,사회,대응,구성원,하이닉스,기술,경영,개발,운영,지속,환경,반도체,발생,활동,기업,회의,기반,구축,다양,생산,보안,코로나,안전,지원,창출,업무,공지,체계,지역,달성,목표,신고,성장,사업,연구,상황,시스템,력사,누적,가치,글로벌,현황,판매,가능,감염,신속,채널,이상,휴가,사내,분과,비상,보건,확대,감염병,조치,바탕,관리,감염자,전략,산업,강화,투자,시설,수립,실시간,첨단,변화,제조,건강,추진,확보,개선,지침,관계자,제품,추가,경제,점검,문제,공헌,미래,문화,전사,협력,이해,두기,정보,배출,메모리,적극,지휘,의심,검사,본사,소통,인재,제공,메시지,접촉,행복,95.5
14,삼성전자,제품,협력,임직원,관리,지원,교육,환경,운영,지속,경영,사용,지역,사회,가능,사업장,기술,다양,정보,개선,평가,개발,사업,안전,활동,서비스,에너지,주요,글로벌,대상,활용,센터,제공,인증,시스템,공정,적용,보호,삼성,확대,기업,보안,인권,물질,고객,프로그램,개인,국내,과정,효율,조직,결과,리스크,현황,온실가스,생산,제조,정책,한국,감축,업무,국가,포함,강화,부문,재생,영향,발생,사내,비율,배출,사항,성과,변화,건강,점검,반도체,윤리,공급,대응,책임,체계,이해,접근성,제도,까지,전력,설비,구축,실시,조사,기후,시간,근로,예방,프로세스,위험,구성,화학,보고서,93.9
15,포스코,사회,환경,지원,기업,활동,지역,경영,관리,안전,교육,운영,사업,평가,기술,그룹,공정,개선,생산,개발,대상,윤리,정보,제품,직원,활용,강화,주요,수소,철강,가능,친환경,공급,임직원,지속,조직,확대,투자,다양,리스크,기반,산업,에너지,보호,시민,대응,비율,계획,이사,성과,고객,전략,참여,사용,변화,인권,거래,협력,이해,탄소,정책,설비,원료,배출,구축,점검,경제,글로벌,과정,제공,결과,전문,국내,역량,제도,부서,관계자,구매,업무,문화,제철소,조치,발생,사내,체계,시스템,추진,핵심,프로그램,단계,현장,경쟁력,해외,급사,시설,포함,위원회,조성,보건,예방,93.6
